"source";"translation";"type";"module";"status";"customer"
"Please configure your PHP so that script is able to change include_path.";"Prosím, nastavte vaše PHP tak, aby skript mohol zmeniť include_path.";"S";"";"T";"N"
"Alternatively you can set include_path directly in your php.ini. include_path=%s";"Eventuálne môžete nastaviť include_path priamo vo vašom php.ini. include_path=%s";"S";"";"T";"N"
"MySQL extension is installed";"MySQL je nainštalované";"S";"";"T";"N"
"MySQL extension is not installed";"MySQL nie je nainštalované";"S";"";"T";"N"
"Please enable MySQL extension. More info http://php.net/mysql";"Prosím, povolte MySQL. Pre viac informácii navštívte stránku http://php.net/mysql";"S";"";"T";"N"
"Please install MySQL version %s or higher. Your current version is %s. More info http://myqsl.net/";"Prosím, nainštalujte MySQL verziu %s alebo novšiu. Vaša aktuálna verzie je %s. Pre viac informácii navštívte stránku http://myqsl.net/";"S";"";"T";"N"
"Please check system requirements and try again";"Prosím, overte systémové požiadavky a skúste znovu";"S";"";"T";"N"
"Welcome";"Vitajte";"B";"";"T";"N"
"You have to specify status of campaign (rstatus field)";"Musíte definovať stav kampane (pole rstatus)";"S";"";"T";"N"
"Campaigns";"Kampane";"B";"";"T";"N"
"Overview";"Zhrnutie";"B";"";"T";"N"
"Campaigns Manager";"Správca kampaní";"S";"";"T";"N"
"Banners";"Banery";"B";"";"T";"N"
"Banners Manager";"Správca banerov";"S";"";"T";"N"
"Affiliates";"Partneri";"B";"";"T";"N"
"Affiliates Manager";"Správca partnerov";"S";"";"T";"N"
"DirectLinks Urls";"DirectLinks Url";"S";"";"T";"N"
"Transactions";"Transakcie";"B";"";"T";"N"
"Commissions";"Provízie";"B";"";"T";"N"
"Reports";"Prehľady";"B";"";"T";"N"
"Trends report";"Prehľady vývoja";"B";"";"T";"N"
"Payouts history";"História vyplatení";"B";"";"T";"N"
"Payouts by affiliate";"Vyplatenia podľa partnera";"B";"";"T";"N"
"Payouts";"Platby";"B";"";"T";"N"
"Pay affiliates";"Vyplatiť partnerov";"B";"";"T";"N"
"Communication";"Komunikácia";"B";"";"T";"N"
"Send message";"Poslať správu";"S";"";"T";"N"
"Configuration";"Nastavenia";"B";"";"T";"N"
"Tracking settings";"Nastavenia sledovania";"B";"";"T";"N"
"Affiliate panel";"Panel partnerov";"B";"";"T";"N"
"Tools";"Nástroje";"B";"";"T";"N"
"Integration";"Integrácia";"B";"";"T";"N"
"Import / Export";"Import / export";"B";"";"T";"N"
"Event logs";"Zoznam udalostí";"B";"";"T";"N"
"Online users";"Online používatelia";"B";"";"T";"N"
"Database status";"Stav databázy";"B";"";"T";"N"
"User cannot be found";"Užívateľ nebol nájdený";"S";"";"T";"N"
"Email was successfully sent to merchant";"E-mail bol úspešne odoslaný obchodníkovi";"S";"";"T";"N"
"Email notifications saved";"Nastavenia odosielaných oznámení boli uložené.";"S";"";"T";"N"
"Banner";"Banner";"B";"";"T";"N"
"none active";"Nič nie je aktívne";"S";"";"T";"N"
"per click";"Za kliknutie";"B";"";"T";"N"
"per sale";"Za predaj";"B";"";"T";"N"
"ID";"ID";"B";"";"T";"N"
"Name";"Názov";"B";"";"T";"N"
"Description";"Popis";"B";"";"T";"N"
"Status";"Stav";"B";"";"T";"N"
"Date created";"Dátum vytvorenia";"S";"";"T";"N"
"Actions";"Akcie";"B";"";"T";"N"
"Channel";"Kanál";"B";"";"T";"N"
"Failed to save %s field(s)";"Chyba pri ukládaní %s pola(í)";"S";"";"T";"N"
"%s field(s) successfully saved";"Bolo úspešne uložených %s polí";"S";"";"T";"N"
"User";"Užívateľ";"B";"";"T";"N"
"Channel name";"Názov kanálu";"S";"";"T";"N"
"Pattern didn't matched the URL, check your pattern";"Vzor sa so zadanou URL nezhoduje. Prosím, skontrolujte váš vzor";"S";"";"T";"N"
"Pattern matched the URL";"Vzor sa zo zadanou URL zhoduje";"S";"";"T";"N"
"Login";"Prihlásenie";"B";"";"T";"N"
"First name";"Meno";"B";"";"T";"N"
"Last name";"Priezvisko";"B";"";"T";"N"
"Referral ID";"Referral ID";"B";"";"T";"N"
"I agree with terms & conditions";"Súhlasím s pravidlami používania ";"B";"";"T";"N"
"Cannot find invoice";"Nemožno nájsť faktúru";"S";"";"T";"N"
"Affiliate";"Partner";"B";"";"T";"N"
"Date of registration";"Dátum registrácie";"S";"";"T";"N"
"Commission";"Provízia";"B";"";"T";"N"
"Total cost";"Celková cena";"B";"";"T";"N"
"Order ID";"ID objednávky";"B";"";"T";"N"
"Product ID";"ID produktu";"B";"";"T";"N"
"Created";"Vytvorenie";"B";"";"T";"N"
"Campaign Name";"Názov kampane";"B";"";"T";"N"
"Type";"Typ";"B";"";"T";"N"
"Affiliate username";"Užívateľské meno partnera";"S";"";"T";"N"
"Paid";"Zaplatené";"B";"";"T";"N"
"Ip";"IP";"S";"";"T";"N"
"Referer";"Odkazovateľ";"B";"";"T";"N"
"Recurring commison id";"ID opakujúcej sa provízie";"S";"";"T";"N"
"Payout history id";"ID histórie platieb";"B";"";"T";"N"
"Click count";"Počet kliknutí";"S";"";"T";"N"
"First click time";"Čas prvého kliknutia";"S";"";"T";"N"
"First click referer";"Odkazovateľ prvého kliknutia";"S";"";"T";"N"
"First click ip";"IP adresa prvého kliknutia";"S";"";"T";"N"
"First click data 1";"Dáta prvého kliknutia 1";"S";"";"T";"N"
"First click data 2";"Dáta prvého kliknutia 2";"S";"";"T";"N"
"Last click time";"Čas posledného kliknutia";"S";"";"T";"N"
"Last click referer";"Odkazovateľ posledného kliknutia";"S";"";"T";"N"
"Last click ip";"IP adresa posledného kliknutia";"S";"";"T";"N"
"Last click data 1";"Dáta posledného kliknutia 1";"S";"";"T";"N"
"Last click data 2";"Dáta posledného kliknutia 2";"S";"";"T";"N"
"Extra data 1";"Extra dáta 1";"B";"";"T";"N"
"Extra data 2";"Extra dáta 2";"B";"";"T";"N"
"Extra data 3";"Extra dáta 3";"S";"";"T";"N"
"Extra data 4";"Extra dáta 4";"S";"";"T";"N"
"Extra data 5";"Extra dáta 5";"S";"";"T";"N"
"Merchant note";"Poznámka obchodníka";"B";"";"T";"N"
"Banner name";"Názov banera";"B";"";"T";"N"
"Banner preview";"Náhľad banera";"S";"";"T";"N"
"Campaign";"Kampaň";"B";"";"T";"N"
"Target URL";"Cieľová URL";"B";"";"T";"N"
"Banner type";"Typ banera";"S";"";"T";"N"
"Html data is not defined";"HTML dáta nie sú definované";"S";"";"T";"N"
"File name is not defined";"Názov súboru nie je definovaný";"S";"";"T";"N"
"unknown";"Neznáme";"B";"";"T";"N"
"approved";"Schválené";"S";"";"T";"N"
"pending";"Čakajúce/i";"S";"";"T";"N"
"User Id";"ID používateľa";"S";"";"T";"N"
"Payment date";"Dátum platby";"S";"";"T";"N"
"Username";"Užívateľské meno";"B";"";"T";"N"
"Amount";"Čiastka";"B";"";"T";"N"
"Note to affiliate";"Poznámka pre partnera";"S";"";"T";"N"
"Original currency ID";"Originálne ID meny";"S";"";"T";"N"
"Original currency rate";"Originálny kurz meny";"S";"";"T";"N"
"Original currency value";"Originálna hodnota meny";"S";"";"T";"N"
"System note";"Systémová poznámka";"B";"";"T";"N"
"Country code";"Kód krajiny";"B";"";"T";"N"
"Affiliate first name";"Meno partnera";"S";"";"T";"N"
"Affiliate last name";"Priezvisko partnera";"S";"";"T";"N"
"3rd party cookie";"Cookie tretích strán";"B";"";"T";"N"
"1st party cookie";"1st party cookie";"B";"";"T";"N"
"Flash cookie";"Flash cookie";"B";"";"T";"N"
"Forced parameter";"Vynútený parameter";"B";"";"T";"N"
"IP address";"IP adresa";"B";"";"T";"N"
"Default affiliate";"Predvolený partner";"B";"";"T";"N"
"Url";"URL";"B";"";"T";"N"
"Note";"Poznámka";"B";"";"T";"N"
"Status does not have allowed value";"Stav nemá povolenú hodnotu";"S";"";"T";"N"
"Selected username already exists";"Zvolené používateľské meno už existuje";"S";"";"T";"N"
"Failed to change status for %s user(s)";"Nepodarilo sa zmeniť stav pre %s používateľa(ov)";"S";"";"T";"N"
"Status successfully changed for %s user(s)";"Stav úspešne zmenený pre %s používateľa(ov)";"S";"";"T";"N"
"Password";"Heslo";"B";"";"T";"N"
"Title must be unique";"Názov musí byť unikátny";"S";"";"T";"N"
"Selected parent affiliate does not exist";"Zvolený nadradený partner neexistuje";"S";"";"T";"N"
"Failed loading file %s with error: %s";"Nepodarilo sa načítať súbor %s. Výsledná chyba je: %s";"S";"";"T";"N"
"Merchant - New User Signup";"Obchodník - Prihlásenie nového používateľa";"B";"";"T";"N"
"New user signed up";"Zaregistrovaný nový používateľ";"B";"";"T";"N"
"Email subject";"Predmet E-mailu";"S";"";"T";"N"
"Email text";"Text E-mailu";"S";"";"T";"N"
"Merchant - Affiliate filled Contact us form";"Obchodník - Partner vyplnil kontaktný formulár";"B";"";"T";"N"
"Affiliate filled Contact us form";"Partner vyplnil kontaktný formulár";"B";"";"T";"N"
"Merchant - New Sale / Lead";"Obchodník - Nový predaj";"B";"";"T";"N"
"New sale / lead";"Nový predaj";"B";"";"T";"N"
"Affiliate - New User Signup Approved";"Partner - Registrácia nového partnera schválená";"B";"";"T";"N"
", welcome to our affiliate program";", vitajte v našom partnerskom programe";"B";"";"T";"N"
"Affiliate - New User Signup Before Approval";"Partner - Pred schválením registrácie nového partnera";"B";"";"T";"N"
"Paid amount";"Zaplatená čiastka";"S";"";"T";"N"
"Paid currency";"Zaplatená mena";"S";"";"T";"N"
"Payout method";"Spôsob vyplatenia";"B";"";"T";"N"
"Affiliate - On payout";"Partner - Pri vyplatení";"B";"";"T";"N"
"Your commissions";"Vaše provízie";"B";"";"T";"N"
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Nový predaj podradeného partnera";"B";"";"T";"N"
"New subaffiliate sale / lead";"Nový predaj podradeného partnera";"B";"";"T";"N"
"Affiliate - New Subaffiliate signup";"Partner - Registrácia nového podradeného partnera";"B";"";"T";"N"
"New subaffiliate signed up";"Nový podradený partner zaregistrovaný";"B";"";"T";"N"
"VAT percentage";"DPH v percetnách";"B";"";"T";"N"
"VAT number";"DPH v číslach";"B";"";"T";"N"
"Registration number";"Číslo registrácie";"B";"";"T";"N"
"VAT part";"DPH časť";"B";"";"T";"N"
"Payment incl. VAT";"Platba vrátane DPH";"B";"";"T";"N"
"Payment excl. VAT";"Platba bez DPH";"B";"";"T";"N"
"Affiliate - On VAT payout";"Partner - Pri DPH vyplatení";"B";"";"T";"N"
"Transaction ID";"ID transakcie";"B";"";"T";"N"
"TotalCost";"Celková cena";"S";"";"T";"N"
"Campaign ID";"ID kampane";"S";"";"T";"N"
"Referer URL";"URL odkazovateľa";"S";"";"T";"N"
"First click - time";"Prvé kliknutie - čas";"S";"";"T";"N"
"First click - referer";"Prvé kliknutie - odkazovateľ";"S";"";"T";"N"
"First click - IP";"Prvé kliknutie - IP";"S";"";"T";"N"
"First click - data1";"Prvé kliknutie - dáta 1";"S";"";"T";"N"
"First click - data2";"Prvé kliknutie - dáta 2";"S";"";"T";"N"
"Last click - time";"Posledné kliknutie - čas";"S";"";"T";"N"
"Last click - referer";"Posledné kliknutie - odkazovateľ";"S";"";"T";"N"
"Last click - IP";"Posledné kliknutie - IP";"S";"";"T";"N"
"Last click - data1";"Posledné kliknutie - dáta 1";"S";"";"T";"N"
"Last click - data2";"Posledné kliknutie - dáta 2";"S";"";"T";"N"
"Transaction data1";"Transakčné dáta 1";"S";"";"T";"N"
"Transaction data2";"Transakčné dáta 2";"S";"";"T";"N"
"Transaction data3";"Transakčné dáta 3";"S";"";"T";"N"
"Transaction data4";"Transakčné dáta 4";"S";"";"T";"N"
"Transaction data5";"Transakčné dáta 5";"S";"";"T";"N"
"Note to merchant";"Poznámka pre obchodníka";"S";"";"T";"N"
"Original currency";"Originálna mena";"S";"";"T";"N"
"Banner does not exist";"Banner neexistuje";"S";"";"T";"N"
"Server error: Unknown type given for BannerForm._save()";"Chyba servera: Zadaný neznámy typ pre BannerForm._save()";"S";"";"T";"N"
"Banner was saved";"Banner bol uložený";"S";"";"T";"N"
"Clicks";"Kliknutia";"B";"";"T";"N"
"CTR";"CTR";"S";"";"T";"N"
"Order";"Poradie";"B";"";"T";"N"
"BannersImportExportDescription";"Definície banerov - pamätajte, že tieto importy/exporty sú iba definície a nie fyzické obrázky alebo súbory";"B";"";"T";"N"
"Campaign does not exist";"Kampaň neexistuje";"S";"";"T";"N"
"Campaign capping saved";"Campaign capping saved";"S";"";"N";"N"
"Number of transactions in 'Active until' campaign validity has to be set";"Platnosť počtu transakcií v kampani <strong>Aktívna pokiaľ</strong> musí byť nastavená";"S";"";"T";"N"
"There are missing From and To dates for 'Active in date range' campaign validity";"V platnosti kampane v nastavení <strong>Aktívna v časovom rozsahu</strong> chýba dátum Od a Do.";"S";"";"T";"N"
"Commission successfully computed";"Provízia úspešne vypočítaná";"S";"";"T";"N"
"User is not valid!";"Používateľ nie je platný!";"S";"";"T";"N"
"Campaign is not valid!";"Kampaň nie je platná!";"S";"";"T";"N"
"Transaction type is not valid or doesn't exist in this campaign!";"Typ transakcie nie je platný alebo v tejto kampani neexistuje!";"S";"";"T";"N"
"Cannot recognize commission group for this user in campaign!";"Pre tohoto používateľa sa v kampani sa nepodarilo sa rozpoznať províznu skupinu.";"S";"";"T";"N"
"Error getting commission settings!";"Chyba pri získavaní nastavení provízie!";"S";"";"T";"N"
"Error, for percentage commissions you have to define Total cost!";"Chyba: Pre percentuálne provízie musíte zadefinovať celkovú cenu (TotalCost)!";"S";"";"T";"N"
"You cannot delete default campaign";"Predvolenú kampaň nemôžete zmazať";"S";"";"T";"N"
"Default";"Predvolená/é";"B";"";"T";"N"
"per sale / lead";"Za predaj / lead";"B";"";"T";"N"
"CampaignsImportExportDescription";"Kampane a nastavenia ich provízií";"B";"";"T";"N"
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: ID kampane je prázdne";"S";"";"T";"N"
"Campaign ID cannot be empty!";"ID kampane nemôže byť prázdne!";"S";"";"T";"N"
"CommissionTypeId (Id) cannot be empty!";"CommissionTypeId (Id) nemôže byť prázdne!";"S";"";"T";"N"
"CommissionGroupId cannot be empty!";"CommissionGroupId nemôže byť prázdne!";"S";"";"T";"N"
"Commission type does not exist";"Typ provízie neexistuje";"S";"";"T";"N"
"Commissions saved successfully";"Provízie boli úspešne uložené";"S";"";"T";"N"
"Field 'type' does not exist";"Pole 'typ' neexistuje";"S";"";"T";"N"
"Failed to change status";"Nepodarilo sa zmeniť stav";"S";"";"T";"N"
"Status successfully changed";"Stav úspešne zmenený pre %s používateľa(ov)";"S";"";"T";"N"
"CommissionsImportExportDescription";"Provízie (transakcie, objednávky registrované systémom";"B";"";"T";"N"
"Affiliate screen";"Obrazovka partnera";"S";"";"T";"N"
"Affiliate panel menu saved";"Menu panela partnera uložené";"S";"";"T";"N"
"Error changing default theme";"Chyba pri zmene predvoleného vzhľadu";"S";"";"T";"N"
"Default theme changed";"Predvolený vzhľad zmemený";"S";"";"T";"N"
"Program name and logo saved";"Logo a názov programu zmenené";"S";"";"T";"N"
"Affiliate signup settings saved";"Nastavenia registrácie partnerov uložené";"S";"";"T";"N"
"Banner format successfully saved";"Formát banera bol úspešne uložený";"S";"";"T";"N"
"Cookies settings saved";"Nastavenia cookies uložené";"S";"";"T";"N"
"Symbol";"Symbol";"B";"";"T";"N"
"Precision";"Zaokrúhľovanie";"B";"";"T";"N"
"Where to display";"Pozícia zobrazenia";"B";"";"T";"N"
"Exchange rate";"Výmenný kurz";"S";"";"T";"N"
"Currency";"Nastavenie meny";"B";"";"T";"N"
"Fraud protections saved";"Ochrana proti podvodom uložená";"S";"";"T";"N"
"Logging saved";"Zaznamenávanie uložené";"S";"";"T";"N"
"Parameter names saved";"Názvy parametrov uložené";"S";"";"T";"N"
"Tracking saved";"Sledovanie uložené";"S";"";"T";"N"
"Affiliates successfully paid";"Partnerovi bolo úspešne zaplatené";"S";"";"T";"N"
"Email";"E-mail";"B";"";"T";"N"
"VAT";"DPH";"S";"";"T";"N"
"To pay";"K úhrade";"S";"";"T";"N"
"Declined";"Zamietnuté/ý";"B";"";"T";"N"
"Minimum payout";"Minimálna pre vyplatenie";"S";"";"T";"N"
"Payout data";"Dáta vyplatenia";"B";"";"T";"N"
"N/A";"N/A";"S";"";"T";"N"
"New payout option";"Nová možnosť vyplácania";"S";"";"T";"N"
"New payout option %s";"Nová možnosť vyplácania %s";"S";"";"T";"N"
"Payout option";"Možnosť vyplatenia";"B";"";"T";"N"
"Payout history";"História platieb";"B";"";"T";"N"
"Date paid";"Dátum vyplatenia";"S";"";"T";"N"
"Payees";"Príjemca";"S";"";"T";"N"
"Total amount";"Celková hodnota";"S";"";"T";"N"
"Affiliate note";"Poznámka partnera";"B";"";"T";"N"
"Date";"Dátum";"B";"";"T";"N"
"Data 1";"Dáta 1";"B";"";"T";"N"
"Data 2";"Dáta 2";"B";"";"T";"N"
"Clicks unique";"Unikátne kliknutia";"S";"";"T";"N"
"Impressions unique";"Unikátne zobrazenia";"S";"";"T";"N"
"Table name";"Názov tabuľky";"S";"";"T";"N"
"Records";"Záznamy";"S";"";"T";"N"
"Total size";"Celková veľkosť";"S";"";"T";"N"
"Data size";"Veľkosť dát";"S";"";"T";"N"
"Index size";"Veľkosť indexu";"S";"";"T";"N"
"Transaction";"Transakcia";"B";"";"T";"N"
"Payout status";"Stav platby";"B";"";"T";"N"
"Data 3";"Dáta 3";"B";"";"T";"N"
"Data 4";"Dáta 4";"B";"";"T";"N"
"Data 5";"Dáta 5";"B";"";"T";"N"
"Tracked by";"Zaznamenal";"B";"";"T";"N"
"Time";"Čas";"B";"";"T";"N"
"Click data 1";"Dáta kliknutia 1";"B";"";"T";"N"
"Click data 2";"Dáta kliknutia 2";"B";"";"T";"N"
"unpaid";"Nezaplatené";"B";"";"T";"N"
"Username must be valid email address";"Užívateľské meno meno musí byť platná E-mailová adresa";"S";"";"T";"N"
"You have to agree with terms & conditions";"Musíte súhlasiť s pravidlami používania";"B";"";"T";"N"
"is mandatory";"je vyžadovaný(á)";"B";"";"T";"N"
"Payout settings saved";"Nastavenia vyplácania boli uložené";"S";"";"T";"N"
"Affiliate details";"Detaily partnera";"B";"";"T";"N"
"Date joined";"Dátum registrácie";"B";"";"T";"N"
"Date approved";"Dátum schvalenia";"B";"";"T";"N"
"Parent";"Nadradený";"S";"";"T";"N"
"Firstname";"Meno";"B";"";"T";"N"
"Lastname";"Priezvisko";"B";"";"T";"N"
"Parent ID";"ID nadradeného partnera";"S";"";"T";"N"
"Parent username";"Užívateľské meno nadradeného partnera";"S";"";"T";"N"
"Parent first name";"Meno nadradeného partnera";"S";"";"T";"N"
"Parent last name";"Priezvisko nadradeného partnera";"S";"";"T";"N"
"AffiliatesImportExportDescription";"Dáta partnerov - môžete ich použiť k získaniu nových partnerov do systému";"B";"";"T";"N"
"Status successfully set to selected url(s)";"Stav(y) pre vybranú(é) URL úspešne znenený(é)";"S";"";"T";"N"
"Failed to set status selected url(s)";"Nemožno nastaviť stav pre vybranú(é) URL";"S";"";"T";"N"
"Commission group";"Provízna skupina";"B";"";"T";"N"
"Selected commission group(s) are changed";"Zvolená(é) provízna(e) skupina(y) bola(i) zmenená(é)";"S";"";"T";"N"
"Changes saved";"Zmeny uložené";"S";"";"T";"N"
"Application Name";"Názov aplikácie";"S";"";"T";"N"
"New password URL";"URL nového hesla ";"S";"";"T";"N"
"Request valid until";"Požiadavka je platná do";"S";"";"T";"N"
"Request new password";"Požiadať o nové heslo";"B";"";"T";"N"
"Wrong username/password";"Nesprávne používateľské meno alebo heslo";"S";"";"T";"N"
"Select account";"Zvote účet";"B";"";"T";"N"
"Authentication failed";"Overovanie zlyhalo";"S";"";"T";"N"
"User authenticated. Logging in.";"Používateľ autorizovaný. Prihasujem ...";"S";"";"T";"N"
"You entered invalid username";"Zadali ste nesprávne používateľské meno";"S";"";"T";"N"
"Within a few minutes you will receive instructions on how to reset your password.";"Do niekoľkých minút obdržíte E-mail s inštrukciami ako zresetovať vaše heslo.";"S";"";"T";"N"
"Your password was changed. Go back to login dialog and login.";"Vaše heslo bolo zmenené. Choďte späť na prihlasovaciu stránku a prihláste sa.";"S";"";"T";"N"
"Logout error";"Chyba pri odhlasovaní";"S";"";"T";"N"
"Logout successful";"Odhlásenie prebehlo úspešne";"S";"";"T";"N"
"Invalid password request. You have to request again new password before trying to set password.";"Neplatná požiadavka na heslo. Pred tým ako sa pokúsite heslo zmeniť, musíte znovu požiadať o nové heslo.";"S";"";"T";"N"
"User account not approved yet";"Používateľský účet ešte nie je schválený";"S";"";"T";"N"
"Unsupported";"Nepodporované";"S";"";"T";"N"
"Import file is not defined";"Súbor na importovanie nie je definovaný";"S";"";"T";"N"
"Export data";"Exportovať dáta";"B";"";"T";"N"
"Data was successfully exported to file %s";"Dáta boli úspešne exportované do súboru %s";"S";"";"T";"N"
"File name";"Názov súboru";"B";"";"T";"N"
"Modules";"Moduly";"S";"";"T";"N"
"Size";"Veľkosť";"S";"";"T";"N"
"Could not create account. (%s)";"Nemožno vytvoriť účet. (%s)";"S";"";"T";"N"
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Adresár %s nie je vaším serverom zapísovateľný. Prosím, odstráňte ho alebo mu nastavte práva na zápis.";"S";"";"T";"N"
"Failed to delete %s filter(s)";"Nepodarilo sa odstrániť %s filter(e)";"S";"";"T";"N"
"%s filter(s) successfully deleted";"%s filter(e) úspešne zmazaný";"S";"";"T";"N"
"Failed to load default mail account. Please check your mail account settings.";"Nemožno načítať predvolený E-mailový účet. Prosím, overte nastavenia vášho E-mailového účtu.";"S";"";"T";"N"
"View name must be unique";"Názov zobranie musí byť unikátne";"S";"";"T";"N"
"Maximum length of %s in %s is %s";"Maximálna dlžka %s v %s je %s";"S";"";"T";"N"
"Relation constraint";"Obmedzenie vzťahu";"S";"";"T";"N"
"must be unique";"musí byť unikátne";"S";"";"T";"N"
"Error changing theme";"Chyba zmeny vzhľadu";"S";"";"T";"N"
"Theme changed";"Vzhľad zmenený";"S";"";"T";"N"
"Failed to delete %s wallpaper(s)";"Nepodarilo sa odstrániť %s pozadie(a)";"S";"";"T";"N"
"%s wallpaper(s) successfully deleted";"%s pozadie(a) úspešne zmazané";"S";"";"T";"N"
"Failed to save wallpaper with error %s";"Nepodarilo sa uložiť pozadie. Výsledná chyba je: %s";"S";"";"T";"N"
"Wallpaper saved.";"Pozadie uložené";"S";"";"T";"N"
"Side bar saved";"Postranný panel uložený";"S";"";"T";"N"
"Windows saved";"Okná uložené";"S";"";"T";"N"
"Quick Launch saved";"Panel rýchleho spustenia uložený";"S";"";"T";"N"
"File does not exist";"Súbor neexistuje";"S";"";"T";"N"
"File was successfully uploaded";"Súbor bol úspešne nahraný";"S";"";"T";"N"
"Unsupported gadget";"Gadget nie je podporovaný";"S";"";"T";"N"
"Gadget";"Gadget";"B";"";"T";"N"
"Gadget added";"Gadget pridaný";"S";"";"T";"N"
"Failed to close gadget";"Nepodarilo sa zavrieť gadget";"S";"";"T";"N"
"Gadget successfully closed";"Gadget úspešne zavretý";"S";"";"T";"N"
"Docking";"Skrývanie";"S";"";"T";"N"
"Gadgets saved";"Gadget uložený";"S";"";"T";"N"
"Create Account";"Vytvorenie účtu";"B";"";"T";"N"
"Create Database";"Vytvorenie databázy";"B";"";"T";"N"
"Could not create database. %s";"Nemožno vytvoriť databázu. %s";"S";"";"T";"N"
"doesnt exist's";"neexistuje";"S";"";"T";"N"
"Internal error";"Vnútorná chyba";"S";"";"T";"N"
"Error during database creation.";"Chyba počas vytvárania databázy";"S";"";"T";"N"
"OK";"OK";"B";"";"T";"N"
"Failed to read headers of CSF file %s";"Nepodarilo sa prečítať hlavičky CSF súboru %s";"S";"";"T";"N"
"Could not change permissions %s";"Nemožno zmeniť oprávnenia %s";"S";"";"T";"N"
"Could not open file";"Nemožno otvoriť súbor";"S";"";"T";"N"
"Could not read file";"Nemožno prečítať súbor";"S";"";"T";"N"
"Rewind unsupported in this file stream";"Pretáčanie nie je týmto súborovým streamom podporované";"S";"";"T";"N"
"File %s does not exist.";"Súbor %s neexistuje.";"S";"";"T";"N"
"Failed to read file %s";"Nepodarilo sa prečítať súbor %s";"S";"";"T";"N"
"Could not create directory %s";"Nemožno vytvoriť adresár %s";"S";"";"T";"N"
"Level";"Úroveň";"S";"";"T";"N"
"Message";"Správa";"B";"";"T";"N"
"File";"Súbor";"S";"";"T";"N"
"Line";"Riadok";"B";"";"T";"N"
"Group ID";"ID skupiny";"B";"";"T";"N"
"Log event";"Zaznamenať udalosť";"S";"";"T";"N"
"Event(s) are deleted";"Udalosti sú zmazané";"S";"";"T";"N"
"No event(s) to delete";"Nie sú žiadne udalosti na zmazanie";"S";"";"T";"N"
"Debug event(s) are deleted";"Udalosti ladenia sú zmazané";"S";"";"T";"N"
"No debug event(s) to delete";"Nie sú žiadne udalosti ladenia na zmazanie";"S";"";"T";"N"
"Mail Account Name";"Názov E-mailového účtu";"S";"";"T";"N"
"From Name";"Od";"B";"";"T";"N"
"From Email";"Z E-mail adresy";"S";"";"T";"N"
"Use SMTP protocol";"Použiť SMTP protokol";"S";"";"T";"N"
"SMTP Server";"SMTP Server";"B";"";"T";"N"
"SMTP Port";"SMTP Port";"B";"";"T";"N"
"SMTP Authentication";"SMTP Authentifikácia";"S";"";"T";"N"
"Use SSL connection";"Použiť SSL pripojenie";"S";"";"T";"N"
"SMTP Username";"SMTP používateľské meno";"S";"";"T";"N"
"Is default mail account";"Je predvoleným E-mailovým účtom";"S";"";"T";"N"
"Yes";"Áno";"B";"";"T";"N"
"No";"Nie";"B";"";"T";"N"
"Email account test mail";"Testovací E-mail E-mail účtu";"B";"";"T";"N"
"Default Mail Account";"Predvolený E-mailový účet";"S";"";"T";"N"
